keyword,category,market,lag_months,correlation,confidence
tailored,silhouette,IT,0,0.89,high
tailored,silhouette,FR,0,0.897,high
tailored,silhouette,US,2,0.861,high
tailored,silhouette,KR,0,0.47,medium
tailored,silhouette,JP,1,0.826,high
tailored,silhouette,GB,0,0.832,high
tailored,silhouette,DE,0,0.741,high
tailored,silhouette,AU,3,0.849,high
tailored,silhouette,BR,0,0.825,high
tailored,silhouette,SG,0,0.798,high
tailored,silhouette,AE,0,0.879,high
utility,style,IT,0,0.98,high
utility,style,FR,18,0.779,high
utility,style,US,36,0.945,high
utility,style,KR,5,0.103,low
utility,style,JP,5,0.819,high
utility,style,GB,0,-0.147,low
utility,style,DE,6,0.817,high
utility,style,AU,1,0.909,high
utility,style,BR,5,0.788,high
utility,style,SG,5,0.716,high
utility,style,AE,4,0.198,low
quiet luxury,aesthetic,IT,26,0.612,high
quiet luxury,aesthetic,FR,0,0.678,high
quiet luxury,aesthetic,US,0,0.695,high
quiet luxury,aesthetic,KR,0,0.683,high
quiet luxury,aesthetic,JP,0,0.52,medium
quiet luxury,aesthetic,GB,32,0.808,high
quiet luxury,aesthetic,DE,31,0.743,high
quiet luxury,aesthetic,AU,31,0.695,high
quiet luxury,aesthetic,BR,30,0.492,medium
quiet luxury,aesthetic,SG,32,0.625,high
quiet luxury,aesthetic,AE,25,0.623,high
streetwear,aesthetic,IT,0,0.529,medium
streetwear,aesthetic,FR,0,0.431,medium
streetwear,aesthetic,US,5,0.716,high
streetwear,aesthetic,KR,0,0.856,high
streetwear,aesthetic,JP,3,0.733,high
streetwear,aesthetic,GB,0,0.729,high
streetwear,aesthetic,DE,0,0.601,high
streetwear,aesthetic,AU,0,0.712,high
streetwear,aesthetic,BR,29,0.713,high
streetwear,aesthetic,SG,0,0.594,medium
streetwear,aesthetic,AE,0,0.783,high
cottagecore,aesthetic,IT,0,0.77,high
cottagecore,aesthetic,FR,0,0.856,high
cottagecore,aesthetic,US,9,0.732,high
cottagecore,aesthetic,KR,0,0.635,high
cottagecore,aesthetic,JP,0,0.427,medium
cottagecore,aesthetic,GB,9,0.693,high
cottagecore,aesthetic,DE,0,0.764,high
cottagecore,aesthetic,AU,10,0.732,high
cottagecore,aesthetic,BR,0,0.669,high
cottagecore,aesthetic,SG,11,0.574,medium
cottagecore,aesthetic,AE,22,0.564,medium
gorpcore,aesthetic,IT,16,0.44,medium
gorpcore,aesthetic,FR,3,-0.005,low
gorpcore,aesthetic,US,36,0.299,low
gorpcore,aesthetic,KR,35,0.524,medium
gorpcore,aesthetic,JP,1,0.895,high
gorpcore,aesthetic,GB,35,0.348,low
gorpcore,aesthetic,DE,28,0.793,high
gorpcore,aesthetic,AU,36,0.373,low
gorpcore,aesthetic,BR,3,0.135,low
gorpcore,aesthetic,SG,36,0.233,low
gorpcore,aesthetic,AE,0,-1.0,low
tenniscore,aesthetic,IT,0,-0.004,low
tenniscore,aesthetic,FR,0,-1.0,low
tenniscore,aesthetic,US,0,-1.0,low
tenniscore,aesthetic,KR,0,-1.0,low
tenniscore,aesthetic,JP,0,-0.004,low
tenniscore,aesthetic,GB,0,-1.0,low
tenniscore,aesthetic,DE,0,-1.0,low
tenniscore,aesthetic,AU,29,1.0,high
tenniscore,aesthetic,BR,0,-1.0,low
tenniscore,aesthetic,SG,0,-0.004,low
tenniscore,aesthetic,AE,16,0.818,high
preppy,aesthetic,IT,0,0.193,low
preppy,aesthetic,FR,0,0.104,low
preppy,aesthetic,US,15,0.175,low
preppy,aesthetic,KR,33,0.363,low
preppy,aesthetic,JP,26,0.197,low
preppy,aesthetic,GB,19,0.191,low
preppy,aesthetic,DE,0,0.275,low
preppy,aesthetic,AU,21,0.189,low
preppy,aesthetic,BR,1,0.25,low
preppy,aesthetic,SG,13,0.173,low
preppy,aesthetic,AE,6,0.184,low
Y2K,aesthetic,IT,9,0.139,low
Y2K,aesthetic,FR,34,0.165,low
Y2K,aesthetic,US,35,0.238,low
Y2K,aesthetic,KR,0,0.1,low
Y2K,aesthetic,JP,31,0.386,low
Y2K,aesthetic,GB,29,0.253,low
Y2K,aesthetic,DE,32,0.202,low
Y2K,aesthetic,AU,21,0.21,low
Y2K,aesthetic,BR,18,0.5,medium
Y2K,aesthetic,SG,19,0.039,low
Y2K,aesthetic,AE,22,0.19,low
maxi,garment,IT,5,0.722,high
maxi,garment,FR,7,0.617,high
maxi,garment,US,25,0.775,high
maxi,garment,KR,0,0.339,low
maxi,garment,JP,0,-0.36,low
maxi,garment,GB,36,0.739,high
maxi,garment,DE,15,0.783,high
maxi,garment,AU,31,0.781,high
maxi,garment,BR,36,0.47,medium
maxi,garment,SG,36,0.69,high
maxi,garment,AE,0,0.739,high
mini,garment,IT,0,0.543,medium
mini,garment,FR,0,0.053,low
mini,garment,US,0,-0.059,low
mini,garment,KR,36,0.399,low
mini,garment,JP,22,0.466,medium
mini,garment,GB,0,-0.101,low
mini,garment,DE,0,0.573,medium
mini,garment,AU,0,-0.258,low
mini,garment,BR,0,0.557,medium
mini,garment,SG,0,0.321,low
mini,garment,AE,0,0.354,low
bodycon,garment,IT,0,0.242,low
bodycon,garment,FR,0,0.242,low
bodycon,garment,US,35,0.514,medium
bodycon,garment,KR,0,0.135,low
bodycon,garment,JP,16,0.118,low
bodycon,garment,GB,34,0.388,low
bodycon,garment,DE,10,0.24,low
bodycon,garment,AU,34,0.515,medium
bodycon,garment,BR,0,-1.0,low
bodycon,garment,SG,25,-0.021,low
bodycon,garment,AE,0,0.587,medium
coord,garment,IT,11,0.29,low
coord,garment,FR,0,-1.0,low
coord,garment,US,0,-1.0,low
coord,garment,KR,11,0.274,low
coord,garment,JP,0,-1.0,low
coord,garment,GB,9,0.834,high
coord,garment,DE,9,0.541,medium
coord,garment,AU,15,0.258,low
coord,garment,BR,0,-1.0,low
coord,garment,SG,0,0.056,low
